h3_index,poi_reach_cbd_weighted
888c106305fffff,79.82608695652173
888c106311fffff,81.41176470588235
888c10631bfffff,100.41176470588235
888c10631dfffff,75.78260869565217
888c106329fffff,69.34782608695652
888c106335fffff,107.41176470588235
888c106363fffff,79.91304347826087
888c10642bfffff,
888c106435fffff,
888c106437fffff,
888c106443fffff,
888c106489fffff,
888c106495fffff,
888c1064a1fffff,
888c1064dbfffff,
888c1064e7fffff,
888c106539fffff,
888c106543fffff,112.0
888c106545fffff,98.5
888c106551fffff,
888c10655dfffff,
888c106597fffff,
888c1065a1fffff,
888c1065a3fffff,
888c1065bbfffff,
888c106601fffff,
888c10660dfffff,
888c106619fffff,
888c106647fffff,
888c106653fffff,
888c10665dfffff,
888c10666bfffff,
888c1066a5fffff,
888c1066b1fffff,
888c1066bbfffff,
888c1066bdfffff,
888c1066c9fffff,
888c1066d5fffff,
888c106703fffff,116.0
888c106719fffff,
888c10671bfffff,
888c106727fffff,100.0
888c106761fffff,53.0
888c10676dfffff,45.0
888c10681dfffff,72.0
888c106829fffff,80.0
888c106835fffff,32.0
888c106841fffff,103.0
888c106885fffff,
888c106887fffff,
888c106893fffff,
888c1068d9fffff,
888c1068e3fffff,
888c1068e5fffff,
888c106a0bfffff,117.0
888c106a17fffff,
888c106a45fffff,81.56
888c106a51fffff,103.11764705882354
888c106a5bfffff,101.41176470588235
888c106a5dfffff,83.52941176470588
888c106aa3fffff,
888c106abbfffff,
888c106ac7fffff,
888c106b01fffff,110.0
888c106b0dfffff,107.0
888c106b19fffff,115.0
888c106b69fffff,
888c106b6bfffff,118.0
888c106c1bfffff,
888c106c25fffff,
888c106c27fffff,
888c106c33fffff,
888c106c6dfffff,
888c106c83fffff,
888c106c85fffff,
888c106c91fffff,
888c106c9dfffff,
888c106ccbfffff,
888c106cd7fffff,
888c106ce1fffff,
888c106ce3fffff,
888c106d29fffff,
888c106d35fffff,
888c106d41fffff,
888c106d4dfffff,
888c106d59fffff,
888c106d87fffff,
888c106d93fffff,
888c106d9dfffff,
888c106dabfffff,
888c106de5fffff,
888c106e09fffff,30.0
888c106e43fffff,21.0
888c106e5bfffff,45.0
888c106e67fffff,95.0
888c106ea1fffff,
888c106eabfffff,
888c106eadfffff,
888c106eb9fffff,
888c106ec5fffff,104.0
888c106f09fffff,
888c106f0bfffff,
888c106f17fffff,
888c106f5dfffff,
888c106f67fffff,
888c106f69fffff,
888c10700dfffff,
888c107019fffff,
888c107023fffff,
888c107025fffff,115.0
888c107031fffff,
888c10703dfffff,
888c10706bfffff,
888c107081fffff,
888c107083fffff,
888c1070c9fffff,
888c1070d5fffff,
888c1070e1fffff,
888c1070edfffff,
888c107127fffff,98.0
888c107133fffff,92.75
888c10714bfffff,
888c107185fffff,99.91304347826087
888c107191fffff,
888c10719dfffff,
888c1071a9fffff,92.04347826086956
888c1071e3fffff,74.0
888c1071edfffff,95.75
888c107207fffff,
888c107241fffff,
888c10724bfffff,
888c10724dfffff,
888c107259fffff,
888c107265fffff,
888c1072a9fffff,
888c1072abfffff,
888c1072b7fffff,
888c1072c3fffff,
888c107307fffff,
888c107309fffff,
888c107315fffff,
888c107321fffff,
888c10735bfffff,
888c107365fffff,
888c107367fffff,
888c10740bfffff,
888c107417fffff,
888c107423fffff,
888c107469fffff,
888c107481fffff,
888c10748dfffff,
888c1074c7fffff,
888c1074d1fffff,
888c1074d3fffff,
888c1074ebfffff,
888c107525fffff,
888c107531fffff,
888c10753dfffff,
888c107549fffff,
888c107583fffff,
888c10758dfffff,
888c10759bfffff,
888c1075a7fffff,114.0
888c1075d5fffff,
888c1075e1fffff,
888c1075ebfffff,
888c1075edfffff,
888c107605fffff,
888c107633fffff,
888c107649fffff,
888c10764bfffff,
888c107657fffff,
888c107663fffff,
888c107691fffff,
888c10769dfffff,
888c1076a7fffff,
888c1076a9fffff,
888c1076b5fffff,
888c1076c1fffff,
888c107705fffff,
888c107707fffff,
888c107713fffff,
888c10774dfffff,
888c107759fffff,
888c107765fffff,
888c107809fffff,102.4
888c107813fffff,65.6
888c107815fffff,83.55555555555556
888c107821fffff,113.1
888c10782dfffff,82.0
888c107867fffff,76.0
888c10788bfffff,46.4
888c1078c5fffff,51.0
888c1078d1fffff,60.096774193548384
888c1078ddfffff,64.96774193548387
888c1078e9fffff,45.4
888c107917fffff,101.0
888c107923fffff,21.0
888c10792dfffff,38.0
888c10793bfffff,79.0
888c107947fffff,99.33333333333333
888c107981fffff,83.62962962962963
888c10798bfffff,64.96296296296296
888c107999fffff,40.111111111111114
888c1079a5fffff,119.0
888c1079d3fffff,40.407407407407405
888c1079e9fffff,116.0
888c1079ebfffff,104.17647058823529
888c107a31fffff,
888c107a3dfffff,
888c107a47fffff,
888c107a49fffff,
888c107a55fffff,
888c107a9bfffff,45.130434782608695
888c107aa7fffff,89.72727272727273
888c107ab3fffff,62.38709677419355
888c107aedfffff,116.0
888c107b05fffff,69.0
888c107b11fffff,115.0
888c107b4bfffff,
888c107b55fffff,
888c107b57fffff,
888c107b63fffff,69.0
888c10c513fffff,
888c10c529fffff,
888c10c52bfffff,
888c10c537fffff,
888c10c587fffff,
888c10c589fffff,
888c10c595fffff,
888c10c5e7fffff,
888c10cc0bfffff,
888c10cc19fffff,
888c10cc53fffff,
888c10ccb1fffff,
888c10ccbbfffff,
888c10ccbdfffff,
888c10ccc9fffff,
888c10cd85fffff,
888c10cd91fffff,
888c10cdd5fffff,
888c10cdd7fffff,
888c10ce1dfffff,
888c10ce33fffff,
888c10ce87fffff,
888c10ce91fffff,
888c10ce93fffff,
888c10ceabfffff,
888c10ced9fffff,
888c10cee5fffff,
888c129499fffff,
888c129687fffff,
888c12a301fffff,
888c12a30dfffff,
888c12a36bfffff,
888c12b009fffff,
888c12b015fffff,
888c12b021fffff,
888c12b02dfffff,
888c12b067fffff,
888c12b0c5fffff,
888c12b0d1fffff,
888c12b0ddfffff,
888c12b0e9fffff,
888c12b13bfffff,
888c12b181fffff,
888c12b18bfffff,
888c12b18dfffff,
888c12b199fffff,
888c12b1a5fffff,
888c12b1e9fffff,
888c12b1ebfffff,
888c12b203fffff,
888c12b23dfffff,
888c12b247fffff,
888c12b249fffff,
888c12b255fffff,
888c12b261fffff,
888c12b29bfffff,
888c12b2a5fffff,
888c12b2a7fffff,
888c12b2edfffff,
888c12b303fffff,
888c12b311fffff,
888c12b31dfffff,
888c12b34bfffff,
888c12b357fffff,
888c12b601fffff,107.0
888c12b63bfffff,72.0
888c12b645fffff,
888c12b647fffff,
888c12b653fffff,43.0
888c12b68dfffff,75.0
888c12b699fffff,110.0
888c12b6a3fffff,106.0
888c12b6a5fffff,
888c12b6b1fffff,
888c12b6ebfffff,72.0
888c12b749fffff,
888c12b755fffff,
888c12b76dfffff,
888c12ba8bfffff,
888c12ba97fffff,
888c13836dfffff,
888c138827fffff,
888c138861fffff,
888c13886dfffff,
888c13891dfffff,
888c138929fffff,
888c138941fffff,
888c138b0bfffff,
888c138b17fffff,
888c138b45fffff,
888c138b51fffff,
888c138b5bfffff,
888c138b5dfffff,
888c138b69fffff,
888c139023fffff,
888c139069fffff,
888c139119fffff,
888c139123fffff,
888c139125fffff,
888c139131fffff,
888c13913dfffff,
888c1391e1fffff,
888c1391edfffff,
888c139227fffff,
888c139307fffff,
888c139341fffff,
888c13934dfffff,
888c139359fffff,
888c139365fffff,
888c139805fffff,
888c139807fffff,
888c139813fffff,
888c13984dfffff,
888c139859fffff,
888c139863fffff,
888c139865fffff,
888c1398abfffff,
888c1398c1fffff,
888c1398c3fffff,
888c139909fffff,
888c139915fffff,
888c139921fffff,
888c13992dfffff,
888c139967fffff,
888c13998bfffff,
888c1399c5fffff,
888c1399d1fffff,
888c1399ddfffff,
888c1399e9fffff,
888c139a23fffff,
888c139a2dfffff,
888c139a3bfffff,
888c139a47fffff,
888c139a81fffff,
888c139a8bfffff,
888c139a8dfffff,
888c139a99fffff,
888c139aa5fffff,
888c139ae9fffff,
888c139aebfffff,
888c139b03fffff,
888c139b31fffff,
888c139b3dfffff,
888c139b47fffff,
888c139b49fffff,
888c139b55fffff,
888c139b61fffff,
888c13d017fffff,
888c13d019fffff,
888c13d031fffff,
888c13d06bfffff,
888c13d0c9fffff,
888c13d0d3fffff,
888c13d0d5fffff,
888c13d235fffff,
888c13d241fffff,
888c13d24dfffff,
888c13d259fffff,
888c13d293fffff,
888c13d29dfffff,
888c13d2abfffff,
888c13d2b7fffff,
888c13d359fffff,
888c13d35bfffff,
888c13d40bfffff,
888c13d415fffff,
888c13d417fffff,
888c13d45dfffff,
888c13d469fffff,
888c13d481fffff,
888c13d48dfffff,
888c13d4bbfffff,
888c13d4c7fffff,
888c13d4d1fffff,
888c13d4d3fffff,
888c13d633fffff,
888c13d63dfffff,
888c13d64bfffff,
888c13d657fffff,
888c13d691fffff,
888c13d69bfffff,
888c13d69dfffff,
888c13d6a9fffff,
888c13d6b5fffff,
888c13d6e3fffff,
888c13d707fffff,
888c13d713fffff,
888c13d741fffff,
888c13d74dfffff,
888c13d757fffff,
888c13d759fffff,
888c13d765fffff,
